Title: 鞋帮；靴腿；增强件；其他单个鞋部件

Code: A43B23/00

========================================

A43B23/02 鞋帮；靴腿

A43B23/04 单片鞋帮；带嵌入撑料的鞋帮

A43B23/06 防水靴腿

A43B23/07 衬里

A43B23/08 鞋跟增强件；鞋尖增强件

A43B23/10 金属制

A43B23/14 皮革制

A43B23/16 浸渍织品、塑料或类似材料制

A43B23/17 塑料制

A43B23/20 鞋用钉、桩、别针、夹子或平头钉

A43B23/22 鞋帮胫部或弓形部的支撑物

A43B23/24 装饰用鞋扣；其他无紧固作用之鞋用装饰品

A43B23/25 鞋上装饰带的配置

A43B23/26 鞋舌

A43B23/28 装在鞋上防止鞋跟打滑及防止磨袜子的零件

A43B23/30 驾驶汽车用鞋底保护装置

