Title: 机械部件的测试

Code: G01M13/00

========================================

G01M13/003 机械阀（测试阀的流体密封性G01M3/00）

G01M13/005 密封圈

G01M13/02 齿轮；传动机构

G01M13/021 齿轮

G01M13/022 动力传输联轴器或离合器

G01M13/023 动力传动环状元件，例如皮带、链条的

G01M13/025 应用旋转驱动和加载装置的试验台；加载/驱动模拟

G01M13/026 机械闭环类型的试验台，即：具有一个由齿轮系统和被测对象组成的闭环系统

G01M13/027 使用施力装置的试验台，例如沿着多个方向的驱动轴的加载

G01M13/028 声学或振动分析

G01M13/04 轴承

G01M13/045 声学或振动分析

