Title: 对无渐进运动的材料或制品进行干燥的机器或设备

Code: F26B11/00

========================================

F26B11/02 在运动的滚筒或其他大部分封闭容器内（F26B11/18优先）

F26B11/04 围绕水平轴或微斜轴旋转的

F26B11/06 带有保持平稳的搅动装置

F26B11/08 围绕垂直轴或微陡斜轴旋转的

F26B11/10 带有保持平稳的搅动装置

F26B11/12 在固定的具有运动搅动装置的筒或其他大部分封闭容器内（F26B11/22优先）

F26B11/14 在水平面或微斜面上运动的搅拌装置

F26B11/16 在垂直面或陡斜面上运动的搅拌装置

F26B11/18 在运动的盘、盆、盘状容器或其他大部分敞开的容器内或上

F26B11/20 带有保持平稳的搅动装置

F26B11/22 在固定的具有搅动装置的盘、盆、盘状容器或其他大部分敞开的容器内或上

