Title: 加工鱼

Code: A22C25/00

========================================

A22C25/02 洗涤或去鱼鳞

A22C25/04 将鱼分类；从冰藏鱼中分开冰

A22C25/06 工作台；与工作台有关的容纳鱼的设备或辅助设备

A22C25/08 制备之前、之中或之后夹持、导向或传送鱼类（A22C25/06优先）

A22C25/10 将鱼穿在线上或类似物上的设备

A22C25/12 鱼的整理，例如按鱼头和鱼尾的位置

A22C25/14 鱼的去头、去内脏或清洁

A22C25/16 去除鱼骨；把鱼肉切块

A22C25/17 剥除鱼皮

A22C25/18 将鱼切成份

A22C25/20 碎片；切成小立方块；切成薄片

A22C25/22 卷鱼装置

