Title: 由钎焊、焊接或切割制成的制品

Code: B23K101/00

========================================

B23K101/02 蜂窝结构

B23K101/04 管状或空心物品

B23K101/06 管子

B23K101/08 有翅或肋的

B23K101/10 管线

B23K101/12 容器

B23K101/14 热交换器

B23K101/16 不定长度的带或板

B23K101/18 薄板

B23K101/20 工具

B23K101/22 网；金属丝织物或类似物

B23K101/24 构架

B23K101/26 轨道或钢轨类似物

B23K101/28 梁

B23K101/30 链、箍或环

B23K101/32 金属丝

B23K101/34 包覆物品

B23K101/36 电的或电子设备

B23K101/38 导体

B23K101/40 半导体设备

B23K101/42 印刷电路

