Title: 钎焊，如硬钎焊或脱焊（B23K3/00优先）

Code: B23K1/00

========================================

B23K1/002 感应加热法钎焊

B23K1/005 辐射能法钎焊

B23K1/008 在炉中钎焊（B23K1/012优先）

B23K1/012 应用热气体钎焊

B23K1/015 蒸气—沉积钎焊

B23K1/018 脱焊；除去熔化钎料或其他余物

B23K1/06 用振动，如超声波振动

B23K1/08 用浸入熔融钎料的方式钎焊

B23K1/14 专门适用于钎焊缝

B23K1/16 纵向缝，如外壳的

B23K1/18 圆周缝，如外壳的

B23K1/19 考虑到被钎焊的材料性质的

B23K1/20 工件或钎焊区的预处理，如电镀

