Title: 被钎焊、焊接或切割的材料

Code: B23K103/00

========================================

B23K103/02 铁和黑色合金

B23K103/04 钢合金

B23K103/06 铸铁合金

B23K103/08 有色金属或合金

B23K103/10 铝或铝合金

B23K103/12 铜或铜合金

B23K103/14 钛或钛合金

B23K103/16 复合材料

B23K103/18 不同的材料

B23K103/20 黑色合金与铝或铝合金

B23K103/22 黑色合金与铜或铜合金

B23K103/24 黑色合金与钛或钛合金

