Title: 离合器中元件具有相互接合的零件（用于同步装置入F16D23/02；自动离合器入 F16D43/00至F16D45/00；外部控制入F16D48/00）

Code: F16D11/00

========================================

F16D11/02 通过装在离合器上的零件与固定安装的元件接触而分离

F16D11/04 带有只可轴向移动的离合元件

F16D11/06 带有不仅做轴向移动的离合元件，如可转动键

F16D11/08 通过轴向移动一个非转动零件来驱动

F16D11/10 带有只能轴向移动的离合元件

F16D11/12 带有不仅做轴向移动的离合元件

F16D11/14 带有只能轴向移动的离合器元件（F16D11/02，F16D11/08优先）

F16D11/16 带有不仅作轴向移动的离合器元件（F16D11/02，F16D11/08优先）

