Title: 流体动力式旋转流体联轴器或离合器

Code: F16D33/00

========================================

F16D33/02 在保持工作回路完全充液时，通过改变工作回路中的液体流量来控制

F16D33/04 通过改变叶片的位置

F16D33/06 通过改变工作回路中的液体流量来控制

F16D33/08 通过装在液力联轴器内的装置，带或不带遥控

F16D33/10 由可控的供液口和排液口组成

F16D33/12 由自激阀自动控制

F16D33/14 由可移动的或可调整的喂油斗组成

F16D33/16 通过配置在联轴器或离合器外的装置

F16D33/18 零件

F16D33/20 与功能有关的轮，叶片或通道的形状

