Title: 包装具有特殊问题的其他物件（捆扎入B65B27/00）

Code: B65B25/00

========================================

B65B25/02 包装农业或园艺产品

B65B25/04 包装水果或蔬菜

B65B25/06 包装薄片或特殊形状的肉、奶酪或其他塑性或发黏的制品

B65B25/08 在薄片或带条材料的层间或条间，如在折叠成锯齿形的带条内

B65B25/10 形成奶酪或类似塑性制品的扇形包装件

B65B25/12 并封闭在圆形容器内

B65B25/14 包装纸张或类似薄片物品、信封或报纸，呈偏平的、折叠的，或卷筒状

B65B25/16 包装面包或类似的烘烤制品，如未切成薄片的长面包

B65B25/18 包裹已切片的面包

B65B25/20 包装衣着，如短袜、长袜、衬衫

B65B25/22 包装打算在包装件内烹饪的食品，如鱼片

B65B25/24 包装环形物件，如轮胎

