Title: 包装除瓶子以外的易碎或对撞击敏感的物件；拆装蛋类（将物件埋入缓冲介质入 B65B55/20）

Code: B65B23/00

========================================

B65B23/02 包装或拆装蛋类

B65B23/04 顶起蛋盘或蛋箱塌陷的空位

B65B23/06 将要包装的蛋类排列、送进或定向；从蛋盘或纸板箱内取出蛋

B65B23/08 使用夹具

B65B23/10 包装饼干

B65B23/12 将要包装的饼干排列、送进和定向

B65B23/14 成组饼干

B65B23/16 将饼干或成包的饼干组放入预制的容器

B65B23/18 包裹单块饼干或成组饼干

B65B23/20 包装平板玻璃、瓦片或木瓦

B65B23/22 包装玻璃安瓿、灯泡、收音机真空管或电子管或类似物

