Title: 用溶液或熔融盐清洗或酸洗金属材料（用有机溶剂入C23G5/02）

Code: C23G1/00

========================================

C23G1/02 用酸溶液

C23G1/04 用缓蚀剂

C23G1/06 有机缓蚀剂

C23G1/08 铁或钢

C23G1/10 其他重金属

C23G1/12 轻金属

C23G1/14 用碱溶液

C23G1/16 用缓蚀剂

C23G1/18 有机缓蚀剂

C23G1/19 铁或钢

C23G1/20 其他重金属

C23G1/22 轻金属

C23G1/24 用中性溶液

C23G1/26 用缓蚀剂

C23G1/28 用熔融盐

C23G1/30 用缓蚀剂

C23G1/32 重金属

C23G1/34 轻金属

C23G1/36 废酸洗液的再生

