Title: 与织机相结合或相关的辅助设备

Code: D03J1/00

========================================

D03J1/02 处理经纱的，如清洁、给湿

D03J1/04 处理纬纱的

D03J1/06 处理织物的（机上割绒入D03D39/24）

D03J1/08 切割织物的

D03J1/10 向织布工指示花型的

D03J1/12 在织机与卷纬处之间输送纱管的（络筒机本身入B65H）

D03J1/13 经纱分绞的（一般分绞入D02H9/00）

D03J1/14 向经停装置停经片、综片或钢筘穿经的设备

D03J1/16 连接经纱头的设备（打结工具入D03J3/00）

D03J1/18 新经与老经接经的

D03J1/20 计测织物长度和所织的纬纱根数的

D03J1/22 边撑机构

D03J1/24 观察织机各部分的小镜或其他设备

