Title: 彩色电视系统（零部件入H04N9/00）

Code: H04N11/00

========================================

H04N11/02 带有带宽压缩的（H04N11/04优先）

H04N11/04 利用脉冲编码调制的

H04N11/06 以各个彩色图像信号成分组合方式为特征的电视传输系统

H04N11/08 只利用顺序信号的（点顺序系统入H04N11/12）

H04N11/10 彩色信号插在亮度信号的消隐期间内

H04N11/12 只利用同时信号的

H04N11/14 其中一个调相调幅信号传送彩色信息，另一个信号传送亮度信息，例如NTSC制

H04N11/16 色度信号相位交变的，例如PAL制

H04N11/18 利用同时和顺序信号的，例如SECAM制

H04N11/20 各彩色图像信号成分组合方式的转换，例如彩色电视制式的转换

H04N11/22 其中同时信号转换成顺序信号或逆转换

H04N11/24 高清晰度电视系统

