Title: 不靠使用特殊机器生产织物或产品的纬编针织工艺；使用上述工艺生产的产品

Code: D04B1/00

========================================

D04B1/02 起绒织物或具有类似表面特征的产品

D04B1/04 按纱线原料区分

D04B1/06 防脱散织物或产品

D04B1/08 按纱线原料区分

D04B1/10 花色织物或产品

D04B1/12 按纱线原料区分

D04B1/14 以采用特殊纱线原料为主要特征的其他织物或产品

D04B1/16 合成纤维线

D04B1/18 弹力线

D04B1/20 卷曲线

D04B1/22 专用于特殊形状的针织品

D04B1/24 服装

D04B1/26 袜子

D04B1/28 手套

