Title: 带单独动作针的横机（使用固定针的钩针成型平机入D04B11/00）

Code: D04B7/00

========================================

D04B7/02 带一组针的

D04B7/04 带两组针的

D04B7/06 双反面成圈

D04B7/08 供家庭用的

D04B7/10 带收放针装置以生产全成型产品

D04B7/12 带衬入起绒纱线的设备

D04B7/14 带有将衬垫纱衬入织物的设备

D04B7/16 用弹力线或衬入弹力线生产织物

D04B7/18 用作纬纱或衬纬

D04B7/20 带有改变织物结构，如从平纹到罗纹的设备

D04B7/22 对产品（如带防脱散边的产品）进行初加工的专门设备

D04B7/24 生产花色织物

D04B7/26 彩色花纹

D04B7/28 编织花纹

D04B7/30 专用于特殊形状针织品的

D04B7/32 圆筒状针织品

D04B7/34 手套

