Title: 用固定针的钩针成型平机（用单独动作针的横机入D04B7/00）

Code: D04B11/00

========================================

D04B11/02 带一组针的

D04B11/04 带两组针的

D04B11/06 带生产全成型产品用的收放针设备

D04B11/08 带衬入起绒衬垫纱线的设备

D04B11/10 带有将衬垫纱线衬入织物的设备

D04B11/12 用弹力线或衬入弹力线生产织物的

D04B11/14 带改换织物结构的设备，如从平纹到罗纹

D04B11/16 对产品（如带防脱散边的产品）进行初加工的设备

D04B11/18 生产花色织物

D04B11/20 彩色花纹

D04B11/22 编织花纹

D04B11/24 将针织物从一台机器移到另一台机器的设备

D04B11/26 专用生产特殊形状产品的

D04B11/28 袜子或其局部

D04B11/30 防脱散袜

D04B11/32 袜口，如双层口或翻口

D04B11/34 袜跟或袜尖部分

D04B11/36 其他服装

