Title: 只限于用在经编机上的小件或辅助设备（不在此限度内的小件或辅助设备入 D04B35/00）

Code: D04B27/00

========================================

D04B27/02 经纱导纱器

D04B27/04 沉降片

D04B27/06 针床；沉降片座

D04B27/08 所用的传动装置

D04B27/10 向织针供、喂、导纱装置

D04B27/12 单根纱的张力装置

D04B27/14 纱张力杆装置

D04B27/16 经轴；及其轴承

D04B27/18 纱张力经轴制动装置

D04B27/20 经轴传动装置

D04B27/22 电控制的

D04B27/24 导纱梳栉装置

D04B27/26 横移装置

D04B27/28 减少花链数目的装置

D04B27/30 带倍速装置的传动机构

D04B27/32 由提花装置控制的单独动作的导纱器

D04B27/34 针织品的卷取或牵引装置

D04B27/36 带撑边器的 钩编；所用设备

