Title: 冰的加工或处理（F25C3/00 优先）

Code: F25C5/00

========================================

F25C5/02 切分冰块，移送或收存冰的装置

F25C5/04 不用锯的

F25C5/06 用与冰块接触的变形体，例如利用可膨胀元件

F25C5/08 用与冰块接触的加热体

F25C5/10 应用热冷冻剂，应用由冷冻剂加热的流体

F25C5/12 冰块削刮机

F25C5/14 冰块造形或修整的装置，例如冰压机

F25C5/18 存贮冰

F25C5/182 冰箱柜

F25C5/185 有冷冻盘的

F25C5/187 有冰量感知手段的

F25C5/20 冰的分配

