Title: 独个输入口或输出口登记器

Code: G07C9/00

========================================

G07C9/10 带有登记装置的可移动屏障

G07C9/15 防止一次超过一个人通过的装置

G07C9/20 涉及使用通行证

G07C9/21 拥有可变访问码

G07C9/22 与通行证持有人的身份检查相结合

G07C9/23 通过密码

G07C9/24 通过手写签名

G07C9/25 使用生物识别数据，例如指纹，虹膜扫描或语音识别

G07C9/26 使用集成在通行证中的生物识别传感器

G07C9/27 具有中央登记

G07C9/28 该通行证可以跟踪或指示存在

G07C9/29 通行证包含有源电子元件的，例如智能卡

G07C9/30 不涉及使用通行证

G07C9/32 结合有身份验证的

G07C9/33 靠密码的

G07C9/35 靠手写签名

G07C9/37 使用生物识别数据，例如 指纹，虹膜扫描或语音识别

G07C9/38 具有中央登记

