Title: 带有制动器件的开关器，例如，调节器；气动或液压制动器的结构（非气动或非液压 制动器的结构入E05F5/00；铰链的摩擦器件入E05D11/08）

Code: E05F3/00

========================================

E05F3/02 带有气动活塞闸的（旋转型入E05F3/14）

E05F3/04 带有液压活塞闸的（旋转型入E05F3/14）

E05F3/06 其中扭转弹簧使1个部件绕着垂直于活塞轴的枢轴旋转

E05F3/08 其中扭转弹簧使1个部件绕着与活塞轴同一方向旋转

E05F3/10 带有1个非扭转的弹簧和一个活塞，二者合用一个轴，或两个轴在同一方向

E05F3/12 带控制液体循环的特殊器件，例如，阀门装置（阀门本身见F16K）

E05F3/14 用旋转式液压制动器的

E05F3/16 用摩擦制动器的

E05F3/18 带反向弹簧的（双作用弹簧入E05F1/14）

E05F3/20 铰链中的

E05F3/22 关闭器中的附加装置，例如，使翼扇保持在开启或其他状态中的装置

