Title: 无环不饱合烃

Code: C07C11/00

========================================

C07C11/02 烯烃

C07C11/04 乙烯

C07C11/06 丙烯

C07C11/08 含4个碳原子的

C07C11/09 异丁烯

C07C11/10 含5个碳原子的

C07C11/107 含6个碳原子

C07C11/113 甲基戊烯

C07C11/12 二烯烃

C07C11/14 丙二烯

C07C11/16 4个碳原子的

C07C11/167 1,3-丁二烯

C07C11/173 5个碳原子的

C07C11/18 异戊二烯

C07C11/20 1,3-戊二烯

C07C11/21 三烯烃；四烯烃；其他多烯烃

C07C11/22 含碳-碳三键的

C07C11/24 乙炔（用湿法生产乙炔气入C10H）

C07C11/28 含碳-碳双键和碳-碳三键的

C07C11/30 乙烯基乙炔

