Title: 有1个以上的羧基连接在非环碳原子上的饱和化合物

Code: C07C55/00

========================================

C07C55/02 二元羧酸

C07C55/06 草酸

C07C55/07 它的盐

C07C55/08 丙二酸

C07C55/10 丁二酸

C07C55/12 戊二酸

C07C55/14 己二酸

C07C55/16 庚二酸

C07C55/18 壬二酸

C07C55/20 癸二酸

C07C55/21 有12个碳原子的二元羧酸

C07C55/22 三元羧酸

C07C55/24 含3个以上羧基的

C07C55/26 含环的

C07C55/28 单环的

C07C55/30 含稠环系

C07C55/32 含卤素

C07C55/34 含环的

C07C55/36 酰基卤化物

C07C55/38 含环的

C07C55/40 含羰卤基以外的卤原子

