Title: 硫代碳酸；它的卤化物，酯或酸酐

Code: C07C329/00

========================================

C07C329/02 一硫代碳酸；它的衍生物

C07C329/04 一硫代碳酸的酯

C07C329/06 有硫代碳酸基的硫原子连接在非环碳原子上

C07C329/08 有硫代碳酸基的硫原子连接在六元芳环以外的其他环的碳原子上

C07C329/10 有硫代碳酸基的硫原子连接在六元芳环的碳原子上

C07C329/12 二硫代碳酸；它的衍生物

C07C329/14 二硫代碳酸的酯

C07C329/16 有二硫代碳酸基的硫原子连接在非环碳原子上

C07C329/18 有二硫代碳酸基的硫原子连接在六元芳环以外的其他环的碳原子上

C07C329/20 有二硫代碳酸基的硫原子连接在六元芳环的碳原子上

