Title: 从含碳原子数较多的烃制备烃

Code: C07C4/00

========================================

C07C4/02 用裂化单烃或烃的混合物或标准气态的烃馏分

C07C4/04 热法

C07C4/06 催化法

C07C4/08 从分子中裂解出脂族或脂环族部分

C07C4/10 从无环烃

C07C4/12 从含六元芳环的烃，例如丙基甲苯裂解为乙烯基甲苯

C07C4/14 裂解发生在芳-脂键上

C07C4/16 热法

C07C4/18 催化法

C07C4/20 就地生成的氢，例如从蒸气

C07C4/22 解聚为原来的单体，例如二聚环戊二烯裂解为环戊二烯

C07C4/24 在脂族-脂族链上裂解多芳基取代的脂族化合物，例如1,4-二苯基丁烷裂解为苯乙烯

C07C4/26 在未稠合的六元芳环间的键上裂解多芳基化合物，例如联苯裂解为苯

