Title: 含有卤原子的无环饱和化合物

Code: C07C19/00

========================================

C07C19/01 含有氯

C07C19/03 氯甲烷

C07C19/04 氯仿

C07C19/041 四氯化碳

C07C19/043 氯乙烷

C07C19/045 二氯乙烷

C07C19/05 三氯乙烷

C07C19/055 四氯乙烷

C07C19/07 含有碘

C07C19/075 含有溴

C07C19/08 含有氟

C07C19/10 和氯

C07C19/12 有两个碳原子

C07C19/14 和溴

C07C19/16 和碘

