Title: 硫酸酯

Code: C07C305/00

========================================

C07C305/02 硫酸酯基的氧原子连接碳架的非环碳原子上

C07C305/04 无环饱和的

C07C305/06 氢化硫酸酯

C07C305/08 二烷基硫酸酯；取代的二烷基硫酸酯

C07C305/10 被单键氧原子进一步取代

C07C305/12 饱和含环碳架

C07C305/14 无环不饱和碳架

C07C305/16 不饱和含环碳架

C07C305/18 含有六元芳环

C07C305/20 硫酸酯基的氧原子连接在除六元芳环以外的环的碳原子上

C07C305/22 硫酸酯基的氧原子连接在六元芳环的碳原子上

C07C305/24 非稠合六元芳环

C07C305/26 卤代硫酸酯，例如，卤代硫酸单酯

