Title: 含有卤原子的无环不饱和化合物

Code: C07C21/00

========================================

C07C21/02 含碳-碳双键

C07C21/04 氯烯烃

C07C21/06 氯乙烯

C07C21/067 烯丙基氯；甲代烯丙基氯

C07C21/073 二氯烯烃

C07C21/08 1,1-二氯乙烯

C07C21/09 二氯丁烯

C07C21/10 三氯乙烯

C07C21/12 四氯乙烯

C07C21/14 含溴

C07C21/16 巴豆基溴

C07C21/17 含磺

C07C21/18 含氟

C07C21/185 四氟乙烯

C07C21/19 卤代二烯

C07C21/20 卤代丁二烯

C07C21/21 氯丁二烯

C07C21/215 含多于两个碳-碳双键的卤代多烯

C07C21/22 含碳-碳三键

