Title: 硫醇、硫醚、氢化多硫化物或多硫化物的制备

Code: C07C319/00

========================================

C07C319/02 硫醇的

C07C319/04 通过硫化氢或其盐对不饱和化合物的加成反应

C07C319/06 从硫醚，氢化多硫化物或多硫化物

C07C319/08 通过取代羟基或醚化的或酯化的羟基

C07C319/10 通过取代连接在六元芳环碳原子上的羟基或醚化的或酯化的羟基

C07C319/12 通过不涉及形成巯基的反应

C07C319/14 硫醚的

C07C319/16 通过硫化氢或其盐对不饱和化合物的加成反应

C07C319/18 通过硫醇对不饱和化合物的加成反应

C07C319/20 通过不涉及形成硫醚基团的反应

C07C319/22 氢化多硫化物或多硫化物的

C07C319/24 通过涉及形成硫-硫键的反应

C07C319/26 分离；纯化，稳定化；添加剂的使用

C07C319/28 分离；纯化

C07C319/30 从精炼的矿物油的副产品中

