Title: 同时产生多于一类含氧化合物的方法

Code: C07C27/00

========================================

C07C27/02 有机酸酯的皂化

C07C27/04 用含氧化合物的还原（C07C29/14优先）

C07C27/06 用碳的氧化物的氢化

C07C27/08 用移动催化剂

C07C27/10 用烃的氧化

C07C27/12 用氧

C07C27/14 全气相反应

C07C27/16 用其他氧化剂

C07C27/18 用烯烃加成得到醛、酮或烯化氧

C07C27/20 用氧代反应

C07C27/22 用该方法特有的催化剂

C07C27/24 用移动催化剂

C07C27/26 纯化；分离；稳定化

C07C27/28 用蒸馏

C07C27/30 用共沸蒸馏

C07C27/32 用萃取蒸馏

C07C27/34 用萃取

