Title: 含有羧基的化合物，羧基的双键氧原子被双键氮原子取代，该氮原子不再连接氧原子， 例如，亚氨醚、脒

Code: C07C257/00

========================================

C07C257/02 羧基的其他氧原子被卤原子取代，例如，偕氯代亚胺

C07C257/04 羧基的其他原子不再被取代，例如亚氨醚

C07C257/06 亚氨基羧基的碳原子连接氢原子、非环碳原子或除六元芳环以外的环的碳原子

C07C257/08 亚氨基羧基的碳原子连接六元芳环的碳原子

C07C257/10 羧基的其他氧原子被氮原子取代，例如，脒

C07C257/12 脒基的碳原子连接氢原子

C07C257/14 脒基的碳原子连接非环碳原子

C07C257/16 脒基的碳原子连接除六元芳环以外的环的碳原子

C07C257/18 脒基的碳原子连接六元芳环碳原子

C07C257/20 含有酰化的脒基的氮原子

C07C257/22 脒基的氮原子连接氮原子，例如，肼定

