Title: 含有叠氮基的化合物

Code: C07C247/00

========================================

C07C247/02 有连接在碳架的非环碳原子上的叠氮基

C07C247/04 饱和的

C07C247/06 和含环的

C07C247/08 不饱和的

C07C247/10 和含环的

C07C247/12 进一步被羧基取代

C07C247/14 有连接在除六元芳环以外的环的碳原子上的叠氮基

C07C247/16 有连接在碳架的六元芳环的碳原子上的叠氮基

C07C247/18 进一步被羧基取代

C07C247/20 由羧酸酰化的叠氮基

C07C247/22 含有连接在氢原子，非环碳原子或除六元芳环以外的环的碳原子上的酰化羧基

C07C247/24 含有至少1个连在六元芳环碳原子上的酰化羧基

