Title: 专门适用于接收广播信息的装置

Code: H04H40/00

========================================

H04H40/09 用于自动根据时间表接收所需信息的装置

H04H40/18 以专门适用于接收的电路或元件为特征的装置

H04H40/27 专门适用于由组H04H20/53至H04H20/86包括的广播系统

H04H40/36 专门适用于立体声广播接收

H04H40/45 用于调频立体声广播接收

H04H40/54 生成副载波

H04H40/63 用于分离改善或调整的

H04H40/72 用于噪声抑制

H04H40/81 用于立体声－单声道转换

H04H40/90 专门适用于卫星广播接收

