Title: 利用直接作用于被泵送液体的正压或负压的流体介质的泵（仅使用负压的入F04F3/00； 喷射泵入F04F5/00；虹吸管入F04F10/00）

Code: F04F1/00

========================================

F04F1/02 既使用正压也使用负压流体介质，例如交替的

F04F1/04 通过蒸发和冷凝产生

F04F1/06 作用在被泵送流体表面上的流体介质（F04F1/02优先）

F04F1/08 专门适用于从很深处提升液体，例如井中

F04F1/10 复合式的，例如具有两个或更多个机组的并联（F04F1/08优先）

F04F1/12 串联

F04F1/14 适于泵送特定液体，例如腐蚀性液体或热液体

F04F1/16 以流体介质突然被压缩为特点的，例如爆炸

F04F1/18 流体介质是与被泵送液体混合的或从被泵送液体产生的

F04F1/20 专门适用于从很深处提升液体，例如从井中

