Title: 三维[3D]图像的加工

Code: G06T15/00

========================================

G06T15/02 非真实感绘制

G06T15/04 纹理映射

G06T15/06 光线跟踪

G06T15/08 体绘制

G06T15/10 图形效果

G06T15/20 透视图计算

G06T15/30 剪取

G06T15/40 隐藏部分移除

G06T15/50 发光效果

G06T15/55 辐射着色

G06T15/60 阴影的生成

G06T15/80 明暗处理

G06T15/83 Phong着色法

G06T15/87 高洛德（Gourand）着色

