Title: 图像的增强或复原

Code: G06T5/00

========================================

G06T5/10 利用非空间域滤波的

G06T5/20 利用局部操作的

G06T5/30 腐蚀或膨胀,如细化

G06T5/40 使用直方图技术的

G06T5/50 使用两个或更多个图像，例如平均、减少

G06T5/60 使用机器学习，例如神经网络

G06T5/70 降噪；平滑

G06T5/73 去模糊，锐化

G06T5/75 反锐化掩模

G06T5/77 润饰；图像修复；划痕去除

G06T5/80 几何校正

G06T5/90 图像或其部分的动态范围修改

G06T5/92 基于全局图像属性

G06T5/94 基于局部图像属性，例如用于局部对比度增强

