Title: 专门适用于长有作物的土地的整地机械

Code: A01B39/00

========================================

A01B39/02 带非旋转工作部件的

A01B39/04 由畜力或拖拉机牵引的

A01B39/06 自走式机械

A01B39/08 带旋转工作部件的

A01B39/10 带摆动工作部件的

A01B39/12 专用的

A01B39/14 作垄的

A01B39/16 在葡萄园、果园等地作业的

A01B39/18 除草用的

A01B39/19 杆式除草机，即具有在表土下推进的旋转杆的除草机

A01B39/20 工作部件；零件

A01B39/22 工作部件；悬挂的工作部件

A01B39/24 底盘〔2〕

A01B39/26 保护植物的装置

A01B39/28 带专用附属装置的

