Title: 犁的构件、工作部件或零件

Code: A01B15/00

========================================

A01B15/02 犁刀；固定犁刀的

A01B15/04 犁铧

A01B15/06 可更换或可调整的犁铧

A01B15/08 犁壁

A01B15/10 可更换或可调整的犁壁

A01B15/12 犁辕；手柄

A01B15/14 犁架（简便运输工具或装置入A01B73/00）

A01B15/16 圆犁刀；清理圆犁刀的刮土刀；刃磨附属设备

A01B15/18 犁刀

A01B15/20 拖拉机牵引式或悬挂式山地犁的工作部件专用调整装置

