Title: 其他整地机械（A01B37/00，A01B39/00，A01B77/00优先）

Code: A01B35/00

========================================

A01B35/02 带非旋转工作部件的

A01B35/04 由畜力或拖拉机牵引的

A01B35/06 带弹性工作部件的

A01B35/08 带刚性工作部件的

A01B35/10 悬挂在拖拉机上的

A01B35/12 带弹性工作部件的

A01B35/14 带刚性工作部件的

A01B35/16 带非驱动式旋转或循环工作部件的

A01B35/18 同时带旋转或非旋转工作部件的

A01B35/20 工作部件；零件

A01B35/22 非旋转工作部件；悬挂的非旋转工作部件

A01B35/24 弹性工作部件

A01B35/26 刚性工作部件

A01B35/28 旋转工作部件；悬挂的旋转工作部件

A01B35/30 底盘〔2〕

A01B35/32 带专用附属装置的

