Title: 专门用途的犁或类似的机具（排水用的入E02B11/02）

Code: A01B13/00

========================================

A01B13/02 用于起垅或修垅的，例如带有对称配置的犁壁的

A01B13/04 用于葡萄园、果园等地作业的

A01B13/06 防止损伤葡萄藤等作物的装置

A01B13/08 用于耕整底土的

A01B13/10 掀起底土层的专用机具

A01B13/12 将底土布于地表的装置

A01B13/14 用于耕整两层或多层土壤的

A01B13/16 控制土壤侵蚀的机械，例如水槽挖掘机、开沟打埂器

