Title: 带驱动式旋转工作部件的耕作机具

Code: A01B33/00

========================================

A01B33/02 工作部件安装在与行进方向呈横向的水平轴上的

A01B33/04 工作部件安装在与行进方向平行的水平轴上的

A01B33/06 工作部件安装在垂直或陡斜的轴上的

A01B33/08 工作部件；零件，例如传动装置或齿轮装置

A01B33/10 工作部件的结构或功能特点

A01B33/12 工作部件的配置；工作部件的防护板

A01B33/14 工作部件与旋转轴的联结，例如弹性联结的工作部件

A01B33/16 带专用附属装置的〔2〕

