Title: 两辊或多辊挤干器，类似的冷展平设备

Code: D06F45/00

========================================

D06F45/02 弹簧传压装置

D06F45/04 有手动快松装置

D06F45/06 有自动快松装置

D06F45/08 流体施压装置

D06F45/10 有3个以上辊的

D06F45/12 与洗衣机结合的

D06F45/14 有与洗衣机、工作台或其他支架活动连接的装置

D06F45/16 零件

D06F45/18 辊转动的传动与控制机构

D06F45/20 向辊传压的肘节或其他杠杆

D06F45/22 辊

D06F45/24 辊轴的支架或座；辊架的支座

D06F45/26 沥水台板；供水板或排水板；挤干用具

D06F45/28 传送辊间洗涤物的皮带装置

