Title: 装甲；装甲板；盾牌（制造或处理方法入B21，C21）

Code: F41H5/00

========================================

F41H5/007 电抗性装甲；可缓冲装甲

F41H5/013 安装或固定装甲板

F41H5/02 板的结构

F41H5/04 多层组成的

F41H5/06 防御物（舰艇上的入B63G9/00；飞机上的入B64D7/00）

F41H5/08 人员使用的

F41H5/10 铲形刺刀，即可作铲用的、刺刀用的或作步枪射击的防护物用的

F41H5/12 适用于轻武器的；适用于轻型火箭发射装置的

F41H5/14 轮式铠装防御物

F41H5/16 适用于各种火炮的

F41H5/18 旋转式防御物

F41H5/20 炮塔

F41H5/22 人孔遮盖，例如在坦克上的（一般入F16J）

F41H5/24 适用于固定使用的，例如防御工事

F41H5/26 窥孔；窗户（玻璃的制造或成分入C03）；及其所用遮盖物

