Title: 治疗眼睛的方法或设备；放置隐形眼镜的装置；纠正斜视的仪器；引 导盲人的仪器；携于身上或手中的眼保护器具（带有用于保护眼睛的 装置的帽子入A42B1/0181；用于防护帽的护目镜入A42B3/22；眼浴入 A61H35/02；太阳镜或具有和眼睛一样特点的护目镜入G02C）

Code: A61F9/00

========================================

A61F9/007 用于眼外科的方法和装置

A61F9/008 采用激光

A61F9/009 用于与眼球相接触和与激光耦合的辅助装置

A61F9/01 角膜的处理

A61F9/011 侵入性的

A61F9/013 用于眼屈光度补偿的（A61F9/008优先）

A61F9/02 护目镜（用于游泳的入A63B33/00）

A61F9/04 眼罩

A61F9/06 焊工用面罩、防护罩或头罩

A61F9/08 可使眼科病人用别种感觉代替直接视觉的仪器或方法

