Title: 避孕用具；子宫托；其施用器

Code: A61F6/00

========================================

A61F6/02 用于男性的（A61F6/20优先）

A61F6/04 避孕套、鞘膜或类似物

A61F6/06 用于女性的（A61F6/20优先）

A61F6/08 子宫托，即放入阴道内支托子宫、纠正错位或防止受孕的用具

A61F6/10 子宫帽

A61F6/12 插入用具或取出用具

A61F6/14 宫内型的

A61F6/16 可膨胀的

A61F6/18 插入用具或取出用具

A61F6/20 输精管闭塞器；输卵管闭塞器

A61F6/22 可植入在管内的

A61F6/24 以阀用具为特征的

