Title: 基于纤维素、改性纤维素或纤维素衍生物的涂料组合物

Code: C09D101/00

========================================

C09D101/02 纤维素；改性纤维素

C09D101/04 氧化纤维素；水解纤维素

C09D101/06 水合纤维素

C09D101/08 纤维素衍生物

C09D101/10 有机酸酯（有机酸和无机酸两者的酯入C09D101/20）

C09D101/12 乙酸纤维素

C09D101/14 混合的酯，例如乙酸-丁酸纤维素

C09D101/16 无机酸酯（有机酸和无机酸两者的酯入C09D101/20）

C09D101/18 硝酸纤维素

C09D101/20 有机酸和无机酸两者的酯

C09D101/22 黄原酸纤维素

C09D101/24 黏胶

C09D101/26 纤维素醚

C09D101/28 烷基醚

C09D101/30 芳基醚；芳烷基醚

C09D101/32 纤维素醚-酯

