Title: 基于淀粉、直链淀粉、支链淀粉、其衍生物或降解产物的涂料组合物

Code: C09D103/00

========================================

C09D103/02 淀粉；其降解产物，例如糊精

C09D103/04 淀粉衍生物

C09D103/06 酯类

C09D103/08 醚类

C09D103/10 氧化淀粉

C09D103/12 直链淀粉；支链淀粉；它们的降解产物

C09D103/14 直链淀粉衍生物；支链淀粉衍生物

C09D103/16 酯类

C09D103/18 醚类

C09D103/20 氧化的直链淀粉；氧化的支链淀粉

