Title: 液体燃料的炉或灶(适用于两种或多种燃料或能源的炉或灶入F24C1/02)

Code: F24C5/00

========================================

F24C5/02 带有汽化燃烧器的，例如盘形的

F24C5/04 吸油绳式的

F24C5/06 可调节的

F24C5/08 完全或部分由辐射体产生热的

F24C5/10 带有雾化燃烧器的

F24C5/12 燃烧器的配置或安装

F24C5/14 点火装置的配置或安装

F24C5/16 控制或安全装置的配置或安装

F24C5/18 构成炉或灶的部件的液体燃料供给装置

F24C5/20 专门适用于旅行的，例如可折叠的

