Title: 用机械的或流体的压敏元件测量流体或流动固体材料的稳定或准稳定压力（用电或磁的 方法传递或指示机械压敏元件的位移的入G01L9/00；测量两个或更多个压力差值的入 G01L13/00；同时测量两个或更多个压力值的入G01L15/00）

Code: G01L7/00

========================================

G01L7/02 弹性形变量计式的

G01L7/04 可挠、可变形管式的，例如，布尔登（Bourdon）量计

G01L7/06 波纹管式的

G01L7/08 可挠膜片式的

G01L7/10 膜盒式的

G01L7/12 带排气室的；无液气压表式的

G01L7/14 有调零装置的

G01L7/16 活塞式的

G01L7/18 应用液体作为压敏介质的，例如，液柱量计

G01L7/20 在液面上方有排气的或容纳低压气体的密闭室的；液体气压表

G01L7/22 含有浮体的，例如，浮铃

G01L7/24 含有部分充以液体的环式天平的

