Title: 制造其他特种制品中的线材加工（销、针、钉、发针的入B21G；链的入B21L）

Code: B21F45/00

========================================

B21F45/02 衣架的

B21F45/04 用于瓶塞部件的，如杠杆或链环的

B21F45/06 柔性轴或空心管的，如用于波登机构的

B21F45/08 织机综片的

B21F45/10 起毛织机用的起毛机

B21F45/12 鱼钩的

B21F45/14 用于花边或绳索的终端块的

B21F45/16 紧固或保险用装置

B21F45/18 拉链齿的

B21F45/20 弹簧钩的；弹簧安全钩的

B21F45/22 纸张扣钉或曲别针的（U形钉入B21F45/24）

B21F45/24 U形钉的；皮带扣的

B21F45/26 扣子的

B21F45/28 钩扣或按扣型的

