Title: 飞机外表面上除冰或防止结冰装置

Code: B64D15/00

========================================

B64D15/02 通过输送热气体或液体

B64D15/04 热气体的运用

B64D15/06 液体应用

B64D15/08 从表面渗出的

B64D15/10 喷射到表面上

B64D15/12 通过电加热（特别适用于透明面或反射面的加热装置H05B3/84）

B64D15/14 沿表面长度循环控制的

B64D15/16 通过机械装置的，例如表面附装或装入脉动垫或脉动片

B64D15/18 表面是翼面，旋翼或螺旋桨

B64D15/20 用于探测冰或起动除冰的装置

B64D15/22 用结冰探测器自动起动的

