Title: 其他类目不包含的应急设备或装置

Code: B64D25/00

========================================

B64D25/02 用于生命体的支承或固定装置（用于弹射座椅的入B64D25/115）

B64D25/04 座椅改装

B64D25/06 套装吊带

B64D25/08 弹射或逃生装置

B64D25/10 弹射座椅

B64D25/102 推进装置，例如弹射器与火箭装置相结合

B64D25/105 只有弹射器

B64D25/108 只有火箭装置

B64D25/11 在弹射前对弹射座椅或有关的机械装置的姿态或方向的控制

B64D25/112 在弹射后对弹射座椅的姿态或方向的控制

B64D25/115 乘员的约束、定位或保护装置

B64D25/118 弹射后乘员与座椅的分离

B64D25/12 可弹射的座舱

B64D25/14 可充气的逃生滑梯

B64D25/16 折叠式救生艇舱

B64D25/18 漂浮装置

B64D25/20 坠机位置指示器的释放

