Title: 从动力装置至螺旋桨或旋翼的动力传动装置；传动装置的布置

Code: B64D35/00

========================================

B64D35/02 特别适合于特定的动力装置

B64D35/021 用于电动装置

B64D35/022 混合电动型的

B64D35/023 串并联型的

B64D35/024 串联型的

B64D35/025 并联型的

B64D35/026 与推进器或转子成一体的电动装置

B64D35/04 以驱动多个螺旋桨或旋翼的传动装置为特点的

B64D35/06 螺旋桨或旋翼是反转的

B64D35/08 以传动装置由多个动力装置所驱动为特点的（用于混合电动力装置B64D35/022）

