Title: 以提供至少一部分时间由排气驱动的泵为特征的发动机

Code: F02B37/00

========================================

F02B37/007 带有并联设置的排气驱动的泵

F02B37/013 带有串联设置的排气驱动的泵

F02B37/02 发动机出口与泵传动装置之间的气体管路，如贮气器

F02B37/04 带有泵的排气驱动和其他驱动装置的发动机，如具有排气驱动泵和机械驱动的二级泵

F02B37/10 至少有一个泵受排气和其他驱动力交替驱动

F02B37/11 其他驱动力只在启动时驱动

F02B37/12 泵的控制

F02B37/14 使泵由排气和其他装置交替驱动控制的，如取决于速度

F02B37/16 使进入的空气分流

F02B37/18 使排气分流

F02B37/20 使排气能量增加，如利用燃烧室

F02B37/22 使排气通道或空气通道的截面改变〔6〕（F02B37/24优先）

F02B37/24 利用带有可调导向叶片的泵或涡轮

