Title: 通信电缆或导体

Code: H01B11/00

========================================

H01B11/02 带有双股绞合的或四股绞合的电缆

H01B11/04 带有相互配置以减少串话的双线或四线组

H01B11/06 带有减小电磁干扰效应或静电干扰效应的装置的，如屏蔽

H01B11/08 专用于减少串话的屏蔽

H01B11/10 专用于减少外部电源干扰的屏蔽

H01B11/12 显示出特殊传输特性的装置

H01B11/14 连续加感电缆，如均匀加感电缆

H01B11/16 电缆，如海底电缆，在电缆的制造过程中装入线圈或其他装置的

H01B11/18 同轴电缆；在一个公共的外导体内有多于1个的内导体的模拟电缆

H01B11/20 带有许多同轴线的电缆

H01B11/22 包括至少1个电导体连同光导纤维共同构成的电缆

