Title: 反应堆和发动机的安排，其中反应堆产生的热转变为机械能

Code: G21D5/00

========================================

G21D5/02 结构上联合的反应堆和发动机，如轻便型的

G21D5/04 结构上不联合的反应堆和发动机

G21D5/06 发动机工作介质通过反应堆芯循环的

G21D5/08 发动机工作介质在热交换器中被反应堆冷却剂加热的

G21D5/10 被反应堆局部加热和被堆芯外部热源所蒸发的液体工作介质

G21D5/12 被反应堆冷却剂所蒸发的液体工作介质

G21D5/14 亦由反应堆冷却剂使其过热

G21D5/16 由分离的热源使其过热的

