Title: 火箭或鱼雷发射装置

Code: F41F3/00

========================================

F41F3/04 用于火箭的

F41F3/042 也用作火箭运输容器的发射装置

F41F3/045 适宜于人员携带和使用的，例如火箭筒（F41F3/042优先）

F41F3/048 发射前把自旋传给火箭的装置

F41F3/052 把火箭固定于发射装置中的设备

F41F3/055 脐带式连接装置

F41F3/058 排除哑弹或瞎火的装置

F41F3/06 从飞机上发射的

F41F3/065 火箭架，即用于发射多个火箭的可分开的容器

F41F3/07 水下发射装置

F41F3/073 火箭发射井，例如其中的固定或密封火箭（F41F3/077优先）

F41F3/077 发射筒的门或盖

F41F3/08 用于海上鱼雷的

F41F3/10 从水面下发射的

