Title: 在现场或非现场采用土木工程技术进行大容量散装材料贮库的施工或安装（塔类入 E04H12/00；贮存库的有关方面，例如，浮式顶盖，密封方法，装卸方法入B65D， B65G，F17B，F17C；基础入E02D27/38)

Code: E04H7/00

========================================

E04H7/02 液体或气体容器，其支撑

E04H7/04 主要用金属建造的

E04H7/06 具有立轴的

E04H7/14 球形的

E04H7/16 具有水平轴的

E04H7/18 主要用混凝土建造的，例如，用钢筋混凝土或其他石类材料

E04H7/20 预应力结构

E04H7/22 可流动固体颗粒用的容器，例如，筒仓或料斗仓；其支撑

E04H7/24 根据所用特殊材料，带或不带穿孔墙的结构

E04H7/26 主要用混凝土建造的，例如，用钢筋混凝土或其他石类材料建造的

E04H7/28 由特殊建筑构件组合的

E04H7/30 主要用金属建造的

E04H7/32 主要用木料建造的

