Title: 能经受或保护不受外来异常的影响，例如，战争、地震、异常气候影响的建筑物或建 筑群或掩蔽所

Code: E04H9/00

========================================

E04H9/02 抗地震或防地面下陷的（基础入E02D27/34）

E04H9/04 防空袭或其他战争行动的

E04H9/06 建在建筑物内或构成建筑物一部分的结构

E04H9/08 建在建筑物下面的地下结构，例如，防空掩蔽所

E04H9/10 单独的掩蔽所；单独防弹片墙的布置

E04H9/12 完全位于地面之下，例如，防空坑道

E04H9/14 防其他危险性影响用的，例如，防飓风、洪水用的

E04H9/16 防其他有害情况用的，例如，防异常气候、传染病用的

