Title: 公共的或类似用途的建筑物或建筑群；公共机构，例如，诊所或监狱

Code: E04H3/00

========================================

E04H3/02 旅馆，汽车旅店，咖啡馆，餐厅，商店，百货公司

E04H3/04 自助餐厅或商店

E04H3/06 博物馆，图书馆建筑物

E04H3/08 医院，诊所或类似建筑物；学校；监狱

E04H3/10 供集会，娱乐或体育用的

E04H3/12 讲台，看台或为观众设的平台

E04H3/14 体育馆；其他体育建筑物

E04H3/16 游泳用的

E04H3/22 剧院，音乐厅；扩音室，电影摄影棚，电视摄影棚或类似建筑

E04H3/24 舞台的结构特征

E04H3/26 转台；能下降的舞台

E04H3/28 可移动的平台或轻便平台

E04H3/30 大礼堂的结构特征

