Title: 头盔；盔盖（防御钢盔入F41H1/04）

Code: A42B3/00

========================================

A42B3/04 头盔的部件、零件或附件

A42B3/06 缓冲罩，如安全头盔的

A42B3/08 下颌带或类似的系戴装置

A42B3/10 衬（A42B3/16优先）

A42B3/12 缓冲垫装置

A42B3/14 支承装置

A42B3/16 护耳装置

A42B3/18 护面装置

A42B3/20 面部护罩，如用于冰球的（A42B3/22优先）

A42B3/22 视镜

A42B3/24 带有消除烟雾或湿气装置的

A42B3/26 带有清洁装置的，例如擦拭器

A42B3/28 透气装置（A42B3/24优先）

A42B3/30 装有无线电装置或通讯系统

A42B3/32 可折叠的头盔；分离构件组成的头盔

