Title: 锌或氧化锌的提炼

Code: C22B19/00

========================================

C22B19/02 矿石的初步处理；氧化锌的初步提纯

C22B19/04 蒸馏法提取锌

C22B19/06 在马弗炉中

C22B19/08 在鼓风炉中

C22B19/10 在反射炉中

C22B19/12 在坩埚炉中

C22B19/14 在竖式蒸馏罐中

C22B19/16 蒸馏器

C22B19/18 冷凝器；接受器

C22B19/20 用非蒸馏法提取锌

C22B19/28 从马弗炉残渣中

C22B19/30 从金属渣或废料中

C22B19/32 锌的精炼

C22B19/34 氧化锌的制取（氧化锌的提纯入C01G9/02）

C22B19/36 在鼓风炉或反射炉中

C22B19/38 在回转窑中

