Title: 矿石或废料的预处理

Code: C22B1/00

========================================

C22B1/02 焙烧工艺过程（C22B1/16优先）

C22B1/04 鼓风焙烧

C22B1/06 硫酸化焙烧

C22B1/08 氯化焙烧

C22B1/10 流态化焙烧

C22B1/11 非焙烧法除硫、磷或砷

C22B1/14 结块；制团；粘合；制粒

C22B1/16 烧结；结块

C22B1/18 在烧结锅内

C22B1/20 在活动炉篦烧结机内

C22B1/212 在隧道炉内

C22B1/214 在竖炉内

C22B1/216 在回转炉内

C22B1/22 在其他烧结设备内

C22B1/24 黏合；制团

C22B1/242 用粘结剂

C22B1/243 无机的

C22B1/244 有机的

C22B1/245 含生产焦结块用碳质材料的

C22B1/248 金属废料或合金的

C22B1/26 焙烧、烧结或结块矿石的冷却

