Title: 金属精炼或重熔的一般方法；金属电渣或电弧重熔的设备

Code: C22B9/00

========================================

C22B9/02 用熔析、过滤、离心分离、蒸馏或超声波作用精炼

C22B9/04 真空精炼

C22B9/05 气体处理（如气体冲洗）法精炼

C22B9/10 用精炼剂或助熔剂；为此采用的材料（C22B9/18优先）

C22B9/14 以固态精炼

C22B9/16 金属的重熔（熔析入C22B9/02）

C22B9/18 电渣重熔

C22B9/187 所用的设备，如炉子

C22B9/193 结晶器、底板或起动器板

C22B9/20 电弧重熔

C22B9/21 所用的设备

C22B9/22 用波能或粒子辐射加热

